,SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
314,ANDAMAN & NICOBAR ISLANDS,2009,No. of districts,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0
317,ANDAMAN & NICOBAR ISLANDS,2010,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
320,ANDAMAN & NICOBAR ISLANDS,2011,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
323,ANDAMAN & NICOBAR ISLANDS,2012,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
326,ANDAMAN & NICOBAR ISLANDS,2013,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
329,ANDAMAN & NICOBAR ISLANDS,2014,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
332,ANDAMAN & NICOBAR ISLANDS,2015,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
338,ARUNACHAL PRADESH,1916,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
341,ARUNACHAL PRADESH,1917,No. of districts,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
344,ARUNACHAL PRADESH,1918,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
347,ARUNACHAL PRADESH,1919,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
350,ARUNACHAL PRADESH,1920,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
353,ARUNACHAL PRADESH,1921,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
356,ARUNACHAL PRADESH,1922,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
359,ARUNACHAL PRADESH,1923,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
362,ARUNACHAL PRADESH,1924,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
365,ARUNACHAL PRADESH,1925,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
