STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2982,"WELL OF BIRMA RAM PATEL, SALAWAS, JODHPUR, RAJASTHAN",Rajasthan,20,20,20,8,8,8,2200,2200,2200,2.4,2.4,2.4,0.6,0.6,0.6,4,4,4,9,9,9
2985,"WELL OF GIRDHARI RAM MEGHWAL, VILLAGE- NANDWAN, JODHPUR, RAJASTHAN",Rajasthan,24,24,24,7.6,7.6,7.6,12700,12700,12700,2.5,2.5,2.5,4,4,4,NA,NA,NA,4,4,4
2986,"TUBE WELL OF GIRDHARI LAL, BHITUJA, RAJASTHAN",Rajasthan,19,19,19,7.8,7.8,7.8,8400,8400,8400,2.7,2.7,2.7,3.1,3.1,3.1,NA,NA,NA,4,4,4
2987,"CWR OF PHED, BHITUJA, RAJASTHAN",Rajasthan,20,20,20,8,8,8,8300,8300,8300,7.8,7.8,7.8,5.7,5.7,5.7,NA,NA,NA,4,4,4
2988,"WELL OF PEMA RAM MALI, BHITUJA, RAJASTHAN",Rajasthan,19,19,19,7.9,7.9,7.9,6600,6600,6600,1.8,1.8,1.8,3,3,3,NA,NA,NA,4,4,4
2989,"WELL OF BABULAL UKKAD JI MALI, SAKARNA BERA, BALOTRA, , JODHPUR, RAJASTHAN",Rajasthan,20,20,20,7.8,7.8,7.8,11700,11700,11700,2.8,2.8,2.8,12,12,12,NA,NA,NA,4,4,4
2990,"WELL OF BHIKSINGH S/O AMAR SINGH PUROHIT, SAKARNA BERA, BALOTRA, JODHPUR, RAJASTHAN",Rajasthan,18,18,18,7.6,7.6,7.6,11500,11500,11500,3.1,3.1,3.1,3.7,3.7,3.7,NA,NA,NA,4,4,4
2991,"WELL OF BHAG JI LAXMAN RAM MALI, SAKARNA BERA, BALOTRA, JODHPUR, RAJASTHAN",Rajasthan,19,19,19,7.4,7.4,7.4,9700,9700,9700,2.5,2.5,2.5,2.9,2.9,2.9,4,4,4,7,7,7
2993,"WELL OF CHOUTHA RAM PUSA PAM, LEFT SIDE OF BRIDGE LUNI, BALOTRA, RAJASTHAN",Rajasthan,18,18,18,7.8,7.8,7.8,21000,21000,21000,4.3,4.3,4.3,5.6,5.6,5.6,4,4,4,7,7,7
3000,"BORE WELL SH. UMESH KUMAR S/O SH. HORIDWARI RAM 3A-16 UIT, BHUTIJA, RAJASTHAN",Rajasthan,27,27,27,7.3,7.3,7.3,3300,3300,3300,1.3,1.3,1.3,1.3,1.3,1.3,NA,NA,NA,4,4,4
3001,"BORE WELL SH. BHRAM JEET SERVICE STATION, BHIWADI, RAJASTHAN",Rajasthan,29,29,29,7.6,7.6,7.6,1820,1820,1820,0.9,0.9,0.9,2,2,2,NA,NA,NA,4,4,4
3002,"BORE WELL M/S R.C. PALACE HOTEL, BHIWADI, RAJASTHAN",Rajasthan,28,28,28,7.8,7.8,7.8,870,870,870,0.7,0.7,0.7,1.8,1.8,1.8,NA,NA,NA,4,4,4
3003,"BORE WELL OFFICE OF RAJ. HOUSING BOARD, BHIWADI, RAJASTHAN",Rajasthan,28,28,28,7.5,7.5,7.5,3500,3500,3500,1.7,1.7,1.7,2.1,2.1,2.1,NA,NA,NA,4,4,4
3004,"BORE WELL OF M/S MODERN PUBLIC SCHOOL, BHIWADI, RAJASTHAN",Rajasthan,28,28,28,7.6,7.6,7.6,2500,2500,2500,0.9,0.9,0.9,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA
3006,"HAND PUMP NEAR NEVTA TIRAHA, NEVTA DAM, SANGANER, JAIPUR, RAJASTHAN",Rajasthan,26,26,26,7.7,7.7,7.7,2100,2100,2100,1.2,1.2,1.2,2,2,2,NA,NA,NA,7,7,7
